Venue,Bat First,Bat Second,Winner
Sheikh Abu Naser Stadium,Zimbabwe,Bangladesh,Bangladesh
Sheikh Abu Naser Stadium,Bangladesh,Zimbabwe,Bangladesh
Sheikh Abu Naser Stadium,Zimbabwe,Bangladesh,Zimbabwe
Sheikh Abu Naser Stadium,Zimbabwe,Bangladesh,Zimbabwe
Maharashtra Cricket Association Stadium,India,Sri Lanka,Sri Lanka
JSCA International Stadium Complex,India,Sri Lanka,India
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sri Lanka,India,India
ICC Academy,United Arab Emirates,Scotland,United Arab Emirates
Khan Shaheb Osman Ali Stadium,United Arab Emirates,Afghanistan,United Arab Emirates
Khan Shaheb Osman Ali Stadium,Oman,Hong Kong,Oman
Khan Shaheb Osman Ali Stadium,Oman,Afghanistan,Afghanistan
Khan Shaheb Osman Ali Stadium,Hong Kong,United Arab Emirates,United Arab Emirates
Shere Bangla National Stadium,Afghanistan,Hong Kong,Afghanistan
Shere Bangla National Stadium,United Arab Emirates,Oman,United Arab Emirates
Shere Bangla National Stadium,India,Bangladesh,India
Shere Bangla National Stadium,Sri Lanka,United Arab Emirates,Sri Lanka
Shere Bangla National Stadium,Bangladesh,United Arab Emirates,Bangladesh
Shere Bangla National Stadium,Pakistan,India,India
Shere Bangla National Stadium,Bangladesh,Sri Lanka,Bangladesh
Shere Bangla National Stadium,United Arab Emirates,Pakistan,Pakistan
Shere Bangla National Stadium,Sri Lanka,India,India
Shere Bangla National Stadium,Pakistan,Bangladesh,Bangladesh
Shere Bangla National Stadium,United Arab Emirates,India,India
Shere Bangla National Stadium,Sri Lanka,Pakistan,Pakistan
Shere Bangla National Stadium,Bangladesh,India,India
ICC Academy,Netherlands,United Arab Emirates,Netherlands
Pallekele International Cricket Stadium,Australia,Sri Lanka,Australia
R Premadasa Stadium,Sri Lanka,Australia,Australia
Melbourne Cricket Ground,Australia,Sri Lanka,Sri Lanka
Simonds Stadium,Australia,Sri Lanka,Sri Lanka
Adelaide Oval,Australia,Sri Lanka,Australia
Bready Cricket Club,Hong Kong,Ireland,Hong Kong
Harare Sports Club,Zimbabwe,India,Zimbabwe
Harare Sports Club,Zimbabwe,India,India
Harare Sports Club,India,Zimbabwe,India
McLean Park,Bangladesh,New Zealand,New Zealand
Bay Oval,New Zealand,Bangladesh,New Zealand
Bay Oval,New Zealand,Bangladesh,New Zealand
Eden Park,South Africa,New Zealand,South Africa
The Rose Bowl,South Africa,England,England
County Ground,South Africa,England,South Africa
Sophia Gardens,England,South Africa,England
Riverside Ground,West Indies,England,West Indies
Green Park,India,England,England
Vidarbha Cricket Association Stadium,India,England,India
